tax_id 	Org_name       	GeneID    	CurrentID 	Status 	Symbol       	Aliases                           	description                                                                                          	other_designations                                                                                                      	map_location 	chromosome 	genomic_nucleotide_accession.version 	start_position_on_the_genomic_accession 	end_position_on_the_genomic_accession 	orientation 	exon_count 	OMIM 	
  9600 	Pongo pygmaeus 	129030859 	        0 	live   	ALK          	                                  	ALK receptor tyrosine kinase                                                                         	ALK tyrosine kinase receptor                                                                                            	             	        12 	NC_072385.2                          	                              104027101 	                            104758694 	plus        	        29 	     	
  9600 	Pongo pygmaeus 	129030854 	        0 	live   	C12H2orf49   	C2AH2orf49                        	chromosome 12 C2orf49 homolog                                                                        	ashwin|chromosome 2A C2orf49 homolog                                                                                    	             	        12 	NC_072385.2                          	                               36454434 	                             36477680 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129030852 	        0 	live   	TGFBRAP1     	                                  	transforming growth factor beta receptor associated protein 1                                        	transforming growth factor-beta receptor-associated protein 1                                                           	             	        12 	NC_072385.2                          	                               36382337 	                             36446945 	minus       	        12 	     	
  9600 	Pongo pygmaeus 	129030851 	        0 	live   	GPR45        	                                  	G protein-coupled receptor 45                                                                        	probable G-protein coupled receptor 45                                                                                  	             	        12 	NC_072385.2                          	                               36307869 	                             36361633 	plus        	         3 	     	
  9600 	Pongo pygmaeus 	129030850 	        0 	live   	MRPS9        	                                  	mitochondrial ribosomal protein S9                                                                   	small ribosomal subunit protein uS9m                                                                                    	             	        12 	NC_072385.2                          	                               36166645 	                             36227432 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129030849 	        0 	live   	MSGN1        	                                  	mesogenin 1                                                                                          	mesogenin-1                                                                                                             	             	        12 	NC_072385.2                          	                              116141155 	                            116142497 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030848 	        0 	live   	IL36A        	                                  	interleukin 36 alpha                                                                                 	interleukin-36 alpha                                                                                                    	             	        12 	NC_072385.2                          	                               44154664 	                             44157248 	plus        	         4 	     	
  9600 	Pongo pygmaeus 	129030842 	        0 	live   	SPTBN1       	                                  	spectrin beta, non-erythrocytic 1                                                                    	spectrin beta chain, non-erythrocytic 1                                                                                 	             	        12 	NC_072385.2                          	                               78904525 	                             79117144 	minus       	        44 	     	
  9600 	Pongo pygmaeus 	129030841 	        0 	live   	ADRA2B       	                                  	adrenoceptor alpha 2B                                                                                	alpha-2B adrenergic receptor                                                                                            	             	        12 	NC_072385.2                          	                               25797003 	                             25800708 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030840 	        0 	live   	IL36B        	                                  	interleukin 36 beta                                                                                  	LOW QUALITY PROTEIN: interleukin-36 beta                                                                                	             	        12 	NC_072385.2                          	                               44176108 	                             44179358 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030838 	        0 	live   	KCNF1        	                                  	potassium voltage-gated channel modifier subfamily F member 1                                        	potassium voltage-gated channel subfamily F member 1                                                                    	             	        12 	NC_072385.2                          	                              123135265 	                            123137167 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030837 	        0 	live   	EIPR1        	                                  	EARP complex and GARP complex interacting protein 1                                                  	EARP and GARP complex-interacting protein 1                                                                             	             	        12 	NC_072385.2                          	                              130731675 	                            130924448 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129030836 	        0 	live   	ADI1         	                                  	acireductone dioxygenase 1                                                                           	acireductone dioxygenase                                                                                                	             	        12 	NC_072385.2                          	                              130576634 	                            130602312 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030835 	        0 	live   	RNASEH1      	                                  	ribonuclease H1                                                                                      	ribonuclease H1                                                                                                         	             	        12 	NC_072385.2                          	                              130532950 	                            130561016 	plus        	        13 	     	
  9600 	Pongo pygmaeus 	129030834 	        0 	live   	TRAPPC12     	                                  	trafficking protein particle complex subunit 12                                                      	trafficking protein particle complex subunit 12                                                                         	             	        12 	NC_072385.2                          	                              130621242 	                            130729937 	minus       	        13 	     	
  9600 	Pongo pygmaeus 	129030826 	        0 	live   	ITSN2        	                                  	intersectin 2                                                                                        	intersectin-2                                                                                                           	             	        12 	NC_072385.2                          	                              109594077 	                            109752465 	plus        	        42 	     	
  9600 	Pongo pygmaeus 	129030824 	        0 	live   	PROKR1       	                                  	prokineticin receptor 1                                                                              	prokineticin receptor 1                                                                                                 	             	        12 	NC_072385.2                          	                               64874948 	                             64888780 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030823 	        0 	live   	TACR1        	                                  	tachykinin receptor 1                                                                                	substance-P receptor                                                                                                    	             	        12 	NC_072385.2                          	                               58277255 	                             58431289 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129030812 	        0 	live   	ATAD2B       	                                  	ATPase family AAA domain containing 2B                                                               	ATPase family AAA domain-containing protein 2B                                                                          	             	        12 	NC_072385.2                          	                              110029253 	                            110204219 	plus        	        28 	     	
  9600 	Pongo pygmaeus 	129030809 	        0 	live   	FKBP1B       	                                  	FKBP prolyl isomerase 1B                                                                             	peptidyl-prolyl cis-trans isomerase FKBP1B                                                                              	             	        12 	NC_072385.2                          	                              109890371 	                            109904305 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129030807 	        0 	live   	XDH          	                                  	xanthine dehydrogenase                                                                               	xanthine dehydrogenase/oxidase                                                                                          	             	        12 	NC_072385.2                          	                              102527529 	                            102612822 	plus        	        36 	     	
  9600 	Pongo pygmaeus 	129030798 	        0 	live   	MYCN         	                                  	MYCN proto-oncogene, bHLH transcription factor                                                       	N-myc proto-oncogene protein                                                                                            	             	        12 	NC_072385.2                          	                              118036599 	                            118043047 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030726 	        0 	live   	IL1RN        	                                  	interleukin 1 receptor antagonist                                                                    	interleukin-1 receptor antagonist protein                                                                               	             	        12 	NC_072385.2                          	                               44226964 	                             44281153 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129030721 	        0 	live   	DUSP2        	                                  	dual specificity phosphatase 2                                                                       	dual specificity protein phosphatase 2                                                                                  	             	        12 	NC_072385.2                          	                               25827514 	                             25829844 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030720 	        0 	live   	ASTL         	                                  	astacin like metalloendopeptidase                                                                    	astacin-like metalloendopeptidase                                                                                       	             	        12 	NC_072385.2                          	                               25806956 	                             25827427 	minus       	        10 	     	
  9600 	Pongo pygmaeus 	129030716 	        0 	live   	CIB4         	                                  	calcium and integrin binding family member 4                                                         	calcium and integrin-binding family member 4                                                                            	             	        12 	NC_072385.2                          	                              107306128 	                            107366187 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129030714 	        0 	live   	FIGLA        	                                  	folliculogenesis specific bHLH transcription factor                                                  	factor in the germline alpha                                                                                            	             	        12 	NC_072385.2                          	                               62740367 	                             62752087 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129030713 	        0 	live   	KCNS3        	                                  	potassium voltage-gated channel modifier subfamily S member 3                                        	potassium voltage-gated channel subfamily S member 3                                                                    	             	        12 	NC_072385.2                          	                              116025899 	                            116080170 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030711 	        0 	live   	FSHR         	                                  	follicle stimulating hormone receptor                                                                	follicle-stimulating hormone receptor                                                                                   	             	        12 	NC_072385.2                          	                               84520419 	                             84722777 	plus        	        10 	     	
  9600 	Pongo pygmaeus 	129030702 	        0 	live   	POU3F3       	                                  	POU class 3 homeobox 3                                                                               	POU domain, class 3, transcription factor 3                                                                             	             	        12 	NC_072385.2                          	                               35982231 	                             35984547 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030701 	        0 	live   	ZC3H8        	                                  	zinc finger CCCH-type containing 8                                                                   	zinc finger CCCH domain-containing protein 8                                                                            	             	        12 	NC_072385.2                          	                               43403375 	                             43442429 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129030700 	        0 	live   	ATOH8        	                                  	atonal bHLH transcription factor 8                                                                   	transcription factor ATOH8                                                                                              	             	        12 	NC_072385.2                          	                               47464830 	                             47502868 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030697 	        0 	live   	MRPL33       	                                  	mitochondrial ribosomal protein L33                                                                  	large ribosomal subunit protein bL33m                                                                                   	             	        12 	NC_072385.2                          	                              106178012 	                            106186069 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030693 	        0 	live   	NFU1         	                                  	NFU1 iron-sulfur cluster scaffold                                                                    	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial                                                                	             	        12 	NC_072385.2                          	                               64096059 	                             64137961 	plus        	        10 	     	
  9600 	Pongo pygmaeus 	129030692 	        0 	live   	SLC9A4       	                                  	solute carrier family 9 member A4                                                                    	sodium/hydrogen exchanger 4                                                                                             	             	        12 	NC_072385.2                          	                               33533583 	                             33592568 	plus        	        12 	     	
  9600 	Pongo pygmaeus 	129030688 	        0 	live   	HPCAL1       	                                  	hippocalcin like 1                                                                                   	hippocalcin-like protein 1                                                                                              	             	        12 	NC_072385.2                          	                              123615671 	                            123740557 	minus       	        11 	     	
  9600 	Pongo pygmaeus 	129030685 	        0 	live   	NOL10        	                                  	nucleolar protein 10                                                                                 	nucleolar protein 10                                                                                                    	             	        12 	NC_072385.2                          	                              123353729 	                            123471319 	plus        	        22 	     	
  9600 	Pongo pygmaeus 	129030684 	        0 	live   	PDIA6        	                                  	protein disulfide isomerase family A member 6                                                        	protein disulfide-isomerase A6                                                                                          	             	        12 	NC_072385.2                          	                              123234657 	                            123262676 	plus        	        13 	     	
  9600 	Pongo pygmaeus 	129030683 	        0 	live   	ATP6V1C2     	                                  	ATPase H+ transporting V1 subunit C2                                                                 	V-type proton ATPase subunit C 2                                                                                        	             	        12 	NC_072385.2                          	                              123261870 	                            123323932 	minus       	        15 	     	
  9600 	Pongo pygmaeus 	129030681 	        0 	live   	VAX2         	                                  	ventral anterior homeobox 2                                                                          	ventral anterior homeobox 2                                                                                             	             	        12 	NC_072385.2                          	                               62597140 	                             62629948 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030680 	        0 	live   	ATP6V1B1     	                                  	ATPase H+ transporting V1 subunit B1                                                                 	V-type proton ATPase subunit B, kidney isoform                                                                          	             	        12 	NC_072385.2                          	                               62565317 	                             62594716 	minus       	        14 	     	
  9600 	Pongo pygmaeus 	129030676 	        0 	live   	SNTG2        	                                  	syntrophin gamma 2                                                                                   	gamma-2-syntrophin                                                                                                      	             	        12 	NC_072385.2                          	                              132772842 	                            133199434 	minus       	        17 	     	
  9600 	Pongo pygmaeus 	129030671 	        0 	live   	SULT1C4      	                                  	sulfotransferase family 1C member 4                                                                  	sulfotransferase 1C4                                                                                                    	             	        12 	NC_072385.2                          	                               39994813 	                             40005682 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129030668 	        0 	live   	PLEK         	                                  	pleckstrin                                                                                           	pleckstrin                                                                                                              	             	        12 	NC_072385.2                          	                               65138091 	                             65170217 	minus       	         9 	     	
  9600 	Pongo pygmaeus 	129030665 	        0 	live   	POLE4        	                                  	DNA polymerase epsilon 4, accessory subunit                                                          	DNA polymerase epsilon subunit 4                                                                                        	             	        12 	NC_072385.2                          	                               58509409 	                             58521248 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030661 	        0 	live   	MTHFD2       	                                  	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase 	bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial                                      	             	        12 	NC_072385.2                          	                               59269401 	                             59286128 	minus       	         8 	     	
  9600 	Pongo pygmaeus 	129030659 	        0 	live   	RTKN         	                                  	rhotekin                                                                                             	rhotekin                                                                                                                	             	        12 	NC_072385.2                          	                               59044546 	                             59061394 	plus        	        14 	     	
  9600 	Pongo pygmaeus 	129030656 	        0 	live   	SLC4A5       	                                  	solute carrier family 4 member 5                                                                     	electrogenic sodium bicarbonate cotransporter 4                                                                         	             	        12 	NC_072385.2                          	                               59141668 	                             59268588 	plus        	        31 	     	
  9600 	Pongo pygmaeus 	129030653 	        0 	live   	INO80B       	                                  	INO80 complex subunit B                                                                              	INO80 complex subunit B                                                                                                 	             	        12 	NC_072385.2                          	                               59029071 	                             59031976 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030648 	        0 	live   	RHOB         	                                  	ras homolog family member B                                                                          	rho-related GTP-binding protein RhoB                                                                                    	             	        12 	NC_072385.2                          	                              113492086 	                            113495848 	minus       	         1 	     	
  9600 	Pongo pygmaeus 	129030640 	        0 	live   	TLX2         	                                  	T cell leukemia homeobox 2                                                                           	T-cell leukemia homeobox protein 2                                                                                      	             	        12 	NC_072385.2                          	                               58969765 	                             58972476 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030631 	        0 	live   	CHAC2        	                                  	ChaC glutathione specific gamma-glutamylcyclotransferase 2                                           	glutathione-specific gamma-glutamylcyclotransferase 2                                                                   	             	        12 	NC_072385.2                          	                               79809602 	                             79817269 	minus       	         4 	     	
  9600 	Pongo pygmaeus 	129030629 	        0 	live   	ASB3         	                                  	ankyrin repeat and SOCS box containing 3                                                             	ankyrin repeat and SOCS box protein 3                                                                                   	             	        12 	NC_072385.2                          	                               79794919 	                             79918543 	plus        	        11 	     	
  9600 	Pongo pygmaeus 	129030628 	        0 	live   	GPR75        	                                  	G protein-coupled receptor 75                                                                        	probable G-protein coupled receptor 75                                                                                  	             	        12 	NC_072385.2                          	                               79728674 	                             79731450 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129030627 	        0 	live   	ACYP2        	                                  	acylphosphatase 2                                                                                    	acylphosphatase-2                                                                                                       	             	        12 	NC_072385.2                          	                               79266491 	                             79456567 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030624 	        0 	live   	TSPYL6       	                                  	TSPY like 6                                                                                          	testis-specific Y-encoded-like protein 6                                                                                	             	        12 	NC_072385.2                          	                               79308778 	                             79316942 	plus        	         1 	     	
  9600 	Pongo pygmaeus 	129030618 	        0 	live   	UCN          	                                  	urocortin                                                                                            	urocortin                                                                                                               	             	        12 	NC_072385.2                          	                              106637312 	                            106639216 	plus        	         2 	     	
  9600 	Pongo pygmaeus 	129030617 	        0 	live   	CENPA        	                                  	centromere protein A                                                                                 	histone H3-like centromeric protein A                                                                                   	             	        12 	NC_072385.2                          	                              107150924 	                            107159487 	minus       	         5 	     	
  9600 	Pongo pygmaeus 	129030614 	        0 	live   	TCF23        	                                  	transcription factor 23                                                                              	transcription factor 23                                                                                                 	             	        12 	NC_072385.2                          	                              106789929 	                            106800008 	minus       	         3 	     	
  9600 	Pongo pygmaeus 	129030608 	        0 	live   	SLC35F6      	                                  	solute carrier family 35 member F6                                                                   	solute carrier family 35 member F6                                                                                      	             	        12 	NC_072385.2                          	                              107163905 	                            107181618 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030607 	        0 	live   	TRIM54       	                                  	tripartite motif containing 54                                                                       	tripartite motif-containing protein 54                                                                                  	             	        12 	NC_072385.2                          	                              106639271 	                            106666970 	minus       	        11 	     	
  9600 	Pongo pygmaeus 	129030606 	        0 	live   	KCNK3        	                                  	potassium two pore domain channel subfamily K member 3                                               	potassium channel subfamily K member 3                                                                                  	             	        12 	NC_072385.2                          	                              107212368 	                            107255492 	minus       	         2 	     	
  9600 	Pongo pygmaeus 	129030602 	        0 	live   	PREB         	                                  	prolactin regulatory element binding                                                                 	prolactin regulatory element-binding protein                                                                            	             	        12 	NC_072385.2                          	                              106812466 	                            106817372 	plus        	         9 	     	
  9600 	Pongo pygmaeus 	129030601 	        0 	live   	SNX17        	                                  	sorting nexin 17                                                                                     	sorting nexin-17                                                                                                        	             	        12 	NC_072385.2                          	                              106567812 	                            106574701 	minus       	        15 	     	
  9600 	Pongo pygmaeus 	129030598 	        0 	live   	PPM1G        	                                  	protein phosphatase, Mg2+/Mn2+ dependent 1G                                                          	protein phosphatase 1G                                                                                                  	             	        12 	NC_072385.2                          	                              106534529 	                            106563748 	plus        	        10 	     	
  9600 	Pongo pygmaeus 	129030594 	        0 	live   	SLC5A6       	                                  	solute carrier family 5 member 6                                                                     	sodium-dependent multivitamin transporter                                                                               	             	        12 	NC_072385.2                          	                              106734536 	                            106748187 	plus        	        21 	     	
  9600 	Pongo pygmaeus 	129030591 	        0 	live   	EMILIN1      	                                  	elastin microfibril interfacer 1                                                                     	EMILIN-1                                                                                                                	             	        12 	NC_072385.2                          	                              106861845 	                            106869689 	minus       	         8 	     	
  9600 	Pongo pygmaeus 	129030588 	        0 	live   	CAD          	                                  	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase                     	multifunctional protein CAD                                                                                             	             	        12 	NC_072385.2                          	                              106703700 	                            106730233 	minus       	        45 	     	
  9600 	Pongo pygmaeus 	129030584 	        0 	live   	NRBP1        	                                  	nuclear receptor binding protein 1                                                                   	nuclear receptor-binding protein                                                                                        	             	        12 	NC_072385.2                          	                              106498776 	                            106514141 	minus       	        18 	     	
  9600 	Pongo pygmaeus 	129030583 	        0 	live   	IFT172       	                                  	intraflagellar transport 172                                                                         	intraflagellar transport protein 172 homolog                                                                            	             	        12 	NC_072385.2                          	                              106452625 	                            106496658 	plus        	        48 	     	
  9600 	Pongo pygmaeus 	129030580 	        0 	live   	GPN1         	                                  	GPN-loop GTPase 1                                                                                    	GPN-loop GTPase 1                                                                                                       	             	        12 	NC_072385.2                          	                              106304802 	                            106326656 	minus       	        14 	     	
  9600 	Pongo pygmaeus 	129030578 	        0 	live   	SUPT7L       	                                  	SPT7 like, STAGA complex subunit gamma                                                               	STAGA complex 65 subunit gamma                                                                                          	             	        12 	NC_072385.2                          	                              106291963 	                            106302562 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030575 	        0 	live   	SLC4A1AP     	                                  	solute carrier family 4 member 1 adaptor protein                                                     	kanadaptin                                                                                                              	             	        12 	NC_072385.2                          	                              106261112 	                            106292159 	minus       	        14 	     	
  9600 	Pongo pygmaeus 	129030565 	        0 	live   	IL1RL2       	                                  	interleukin 1 receptor like 2                                                                        	interleukin-1 receptor-like 2                                                                                           	             	        12 	NC_072385.2                          	                               33231279 	                             33287659 	plus        	        12 	     	
